Geo Point;Geo Shape;ID_KJ;KI_ANGEBOT;JU_ANGEBOT;TRAEGER;ANGEBOT;STRASSE_NR;PLZ;ORT;KANTON;LINK
47.5635973794,7.62414487641;"{""type"": ""Point"", ""coordinates"": [7.624144876412916, 47.56359737944188]}";100;FALSE;TRUE;Verein Robi-Spiel-Aktionen;Quartierspielplatz Robi Allmend;Allmendstrasse 219;4058;Basel-Stadt;BS;http://www.robi-spiel-aktionen.ch/spielplaetze.php
47.5697329887,7.61717604437;"{""type"": ""Point"", ""coordinates"": [7.617176044368002, 47.56973298869415]}";27;TRUE;FALSE;ELCH Eltern Centrum Hirzbrunnen;Kids-Treff;Allmendstrasse 36;4058;Basel-Stadt;BS;http://www.quartiertreffpunktebasel.ch/quartier-treffpunkte-basel/elch-eltern-centrum-hirzbrunnen/offener-treffpunkt.php
47.5821329055,7.65075432276;"{""type"": ""Point"", ""coordinates"": [7.650754322758911, 47.58213290546469]}";105;TRUE;TRUE;Freizeitzentrum Landauer;"""""""2wei"""": Kinder-/Familientreffpunkt""";Bahnhofstrasse 61;4125;Riehen;BS;https://www.riehen.ch/sites/default/files/documents/2wei_flyer_2020.pdf
47.5686997611,7.59111278039;"{""type"": ""Point"", ""coordinates"": [7.591112780386005, 47.568699761118445]}";94;FALSE;TRUE;Verein JuAr Basel / GGG Stadtbibliothek Basel;offene Jugendarbeit in der Bibliothek Bläsi;Bläsiring 85;4057;Basel-Stadt;BS;https://www.stadtbibliothekbasel.ch/de/jugendarbeit.html
47.5416077967,7.59325358914;"{""type"": ""Point"", ""coordinates"": [7.593253589140225, 47.54160779674691]}";76;TRUE;FALSE;Verein Robi-Spiel-Aktionen;SpielFeld;Dornacherstrasse 192;4053;Basel-Stadt;BS;http://www.robi-spiel-aktionen.ch/spielplaetze.php
47.5695659636,7.60230480552;"{""type"": ""Point"", ""coordinates"": [7.602304805520098, 47.56956596357791]}";81;TRUE;FALSE;Quartiertreffpunkt Rosental;Verkehrsgarten Erlenmatt;Erlenstr. 5;4058;Basel-Stadt;BS;http://www.gleis58.ch/programm/woechentliches_programm
47.5543843338,7.581997949;"{""type"": ""Point"", ""coordinates"": [7.581997949000881, 47.55438433382731]}";37;FALSE;TRUE;Verein Eulerstroos nüün;Kingsnight (Jungentreffpunkt);Eulerstrasse 9;4051;Basel-Stadt;BS;https://www.e-9.ch/teens/kingsnight/
47.5544031373,7.58206575526;"{""type"": ""Point"", ""coordinates"": [7.582065755259769, 47.554403137283316]}";111;FALSE;TRUE;Verein Eulerstroos nüün;Jugendtreffpunkt Lounge;Eulerstrasse 9;4051;Basel-Stadt;BS;https://www.e-9.ch/teens/lounge
47.5543688909,7.58212279073;"{""type"": ""Point"", ""coordinates"": [7.582122790732951, 47.55436889089015]}";112;FALSE;TRUE;Verein Eulerstroos nüün;Jugendtreffpunkt Tag Eins;Eulerstrasse 9;4051;Basel-Stadt;BS;https://www.e-9.ch/teens/tag-eins
47.575993333,7.59134626557;"{""type"": ""Point"", ""coordinates"": [7.591346265573519, 47.575993332955285]}";71;TRUE;FALSE;Verein Raum frei für Kinder;Spielboden Klybeck;Gärtnerstrasse 46;4057;Basel-Stadt;BS;http://www.spielboden-klybeck.ch/
