Geo Point;Geo Shape;OBJID;ID;Fusswegtyp;Strassenkategorie;Bemerkung
47.5608316716,7.566041921;"{""type"": ""LineString"", ""coordinates"": [[7.565406557679532, 47.56138000675483], [7.565432927274309, 47.5613888998725], [7.566581151664542, 47.56140473472835], [7.566582166529169, 47.56137352542701], [7.566604955036902, 47.56080213870016], [7.566623421570353, 47.56026270227753], [7.566601421857261, 47.560241923934335], [7.566567368446671, 47.56023676290266], [7.56558932450594, 47.560222226889806], [7.565565218358359, 47.560243055580464], [7.565470332320314, 47.560963861233894], [7.565396643060589, 47.561362191982624], [7.565406557679532, 47.56138000675483]]}";1;1;Trottoir;Zone30;
47.5607438775,7.56456894559;"{""type"": ""LineString"", ""coordinates"": [[7.564485463403489, 47.561323794607794], [7.564574308583659, 47.560830348538516], [7.564554507047691, 47.56081179788091], [7.564621383276924, 47.56031094657271], [7.564643048870001, 47.56018461541214], [7.564663869691405, 47.5601734497141]]}";3;3;Trottoir;Zone50;
47.5622738606,7.56488352057;"{""type"": ""LineString"", ""coordinates"": [[7.564454625155351, 47.56139775618554], [7.565235200956749, 47.561445208321324], [7.565268189924648, 47.56147191983648], [7.565219311568241, 47.56168744424832], [7.565088474516578, 47.562065025213826], [7.564952080446397, 47.56240843589211], [7.564634342917724, 47.56313245817618], [7.564568872801866, 47.56329524300098], [7.564562387126402, 47.56333983180768], [7.56457573367774, 47.563415598386634], [7.5646991644616, 47.56361904668922], [7.564698001072904, 47.563649743466726]]}";10;10;Trottoir;Zone30;
47.5595876078,7.56702692907;"{""type"": ""LineString"", ""coordinates"": [[7.566832734331622, 47.55910066378407], [7.566854934049089, 47.55919946240646], [7.567198089233258, 47.55994579746498], [7.567156439107153, 47.559969613744585], [7.567135593109523, 47.55997558155028], [7.567168686497712, 47.560040182960925]]}";17;17;Trottoir;Zone30;
47.5580427147,7.56701928893;"{""type"": ""LineString"", ""coordinates"": [[7.567150272201292, 47.55877488565103], [7.567131569745144, 47.55875485024539], [7.567046129153272, 47.55837526526696], [7.566985674215085, 47.557881989991316], [7.566957683448545, 47.55742396129318], [7.566975147900203, 47.55738233710355], [7.566955198464484, 47.557301973107336]]}";28;28;Trottoir;Zone30;
47.5572757573,7.56649377668;"{""type"": ""LineString"", ""coordinates"": [[7.566983195358654, 47.55730319244395], [7.566550685328962, 47.55728434884439], [7.566519917202305, 47.5572687874448], [7.566114867366328, 47.55725436401509], [7.56600402032961, 47.55725969242432]]}";30;30;Trottoir;Zone50;
47.5603415541,7.56938990784;"{""type"": ""LineString"", ""coordinates"": [[7.569683920432493, 47.5611370200196], [7.570427550516301, 47.56089544760194], [7.570449390788852, 47.56085085006898], [7.570387767509262, 47.56078701931557], [7.569817980394338, 47.56030025581691], [7.569470385519686, 47.56000344867413], [7.569076601317801, 47.55966508715785], [7.568907216302287, 47.55952113404081], [7.568880843438066, 47.55951075774827], [7.568836927311004, 47.559509322798554], [7.568385184768137, 47.55970894698629], [7.568376499597879, 47.55974907762892], [7.568904780967966, 47.56032654232855], [7.569461683486473, 47.56093220369886], [7.569631180099429, 47.561119244705964], [7.569683920432493, 47.5611370200196]]}";32;32;Trottoir;Zone30;
47.5592373346,7.56822064449;"{""type"": ""LineString"", ""coordinates"": [[7.567438940542364, 47.55888171857921], [7.568235023659434, 47.55871388661368], [7.568263600876936, 47.55872945897878], [7.56835404166575, 47.55890990745553], [7.56837391774185, 47.55895891913237], [7.568463107413082, 47.55907250057753], [7.568791035777191, 47.55941688257332], [7.568781239756795, 47.55944810171249], [7.567989567137191, 47.55979521330371], [7.567805336082674, 47.55986823054509], [7.567735137325021, 47.55988837322075]]}";40;40;Trottoir;Zone30;
47.5573327088,7.56756684195;"{""type"": ""LineString"", ""coordinates"": [[7.567959840108797, 47.5573545654961], [7.567173843792606, 47.557310852097025]]}";44;44;Trottoir;Zone50;
47.5583960979,7.5689108065;"{""type"": ""LineString"", ""coordinates"": [[7.56893092404106, 47.55843800255452], [7.568900765217265, 47.558367705305], [7.568881576354062, 47.55837182786565]]}";48;48;Fussweg_Park;andere;
