Geo Point,Geo Shape,SCHULSTAND,SCHULTYP,NAME,VORNAME_K,NACHNAME_K,FUNKTION,WEBSEITE,STRASSE,HAUSNUMMER,PLZ,ORTSCHAFT,TELEFON,FAX,WWW_LINK,EMAIL,PDF_REPORT,GEOMETRIE,lat,long,q_rating,w_rating,v_rating
"47.5328168425,7.58812240507","{""type"": ""Point"", ""coordinates"": [7.588122405069855, 47.532816842528575]}",Bruderholz,Kindergarten,Oberer Batterieweg 11,,,Kindergarten,,Oberer Batterieweg,11,4059,Basel,+41 61 361 75 10,,,,,2611257.533000/1264686.809000,47.5328168425,7.58812240507,0.0,0.3,1
"47.5297000669,7.60129433666","{""type"": ""Point"", ""coordinates"": [7.601294336664504, 47.52970006691722]}",Bruderholz,Kindergarten,Zur Gempenfluh 52,,,Kindergarten,,Zur Gempenfluh,52,4059,Basel,+41 61 331 44 67,,,,,2612250.106000/1264342.225000,47.5297000669,7.60129433666,0.2,0.8999999999999999,0
"47.5338786116,7.58795014157","{""type"": ""Point"", ""coordinates"": [7.587950141565752, 47.53387861162233]}",Brunnmatt,Kindergarten,Hohe Winde Strasse 40,,,Kindergarten,,Hohe Winde Strasse,40,4053,Basel,+41 61 361 02 22,,,,,2611244.338000/1264804.840000,47.5338786116,7.58795014157,0.7,0.8,0
"47.539770312,7.59336213542","{""type"": ""Point"", ""coordinates"": [7.593362135415257, 47.53977031203863]}",Brunnmatt,Kindergarten,Ingelsteinweg 2,,,Kindergarten,,Ingelsteinweg,2,4053,Basel,+41 61 208 50 32,,,,,2611650.573000/1265460.710000,47.539770312,7.59336213542,0.4,2.3000000000000003,1
"47.5351582089,7.59587644201","{""type"": ""Point"", ""coordinates"": [7.595876442012227, 47.53515820894282]}",Brunnmatt,Kindergarten,Schönenbergstrasse 24,,,Kindergarten,,Schönenbergstrasse,24,4053,Basel,+41 61 331 75 50,,,,,2611840.900000/1264948.275000,47.5351582089,7.59587644201,0.0,0.2,0
"47.5495051579,7.56539833621","{""type"": ""Point"", ""coordinates"": [7.565398336212891, 47.54950515790555]}",Gotthelf,Kindergarten,Reiterstrasse 2,,,Kindergarten,,Reiterstrasse,2,4054,Basel,+41 61 301 56 00,,,,,2609543.412000/1266539.355000,47.5495051579,7.56539833621,0.2,1.6,1
"47.5704979025,7.60880621089","{""type"": ""Point"", ""coordinates"": [7.608806210890156, 47.57049790249711]}",Schoren,Kindergarten,In den Schorenmatten 28,,,Kindergarten,,In den Schorenmatten,28,4058,Basel,+41 61 681 16 20,,http://schulen.edubs.ch/ps/hirzbrunnen/kindergaerten,,,2612805.999000/1268879.657000,47.5704979025,7.60880621089,0.2,0.5,0
"47.5640590227,7.62085567115","{""type"": ""Point"", ""coordinates"": [7.620855671152436, 47.564059022652785]}",Hirzbrunnen,Kindergarten,Wittlingerstrasse 176,,,Kindergarten,,Wittlingerstrasse,176,4058,Basel,+41 61 601 43 14,,http://schulen.edubs.ch/ps/hirzbrunnen/kindergaerten,,,2613714.345000/1268165.752000,47.5640590227,7.62085567115,0.0,0.0,0
"47.5437932386,7.58659099379","{""type"": ""Point"", ""coordinates"": [7.586590993785697, 47.543793238582296]}",Margarethen,Kindergarten,Gempenstrasse 43,,,Kindergarten,,Gempenstrasse,43,4053,Basel,+41 61 361 47 39,,,,,2611139.928000/1265907.033000,47.5437932386,7.58659099379,0.0,0.8,0
"47.5467546322,7.57366239791","{""type"": ""Point"", ""coordinates"": [7.573662397912356, 47.54675463220981]}",Neubad,Kindergarten,Bernerring 19,,,Kindergarten,,Bernerring,19,4054,Basel,+41 61 281 34 22,,,,,2610166.031000/1266234.560000,47.5467546322,7.57366239791,0.4,0.30000000000000004,0
"47.5488122026,7.56071253948","{""type"": ""Point"", ""coordinates"": [7.560712539480726, 47.54881220264787]}",Neubad,Kindergarten,General Guisan Strasse 180,,,Kindergarten,,General Guisan Strasse,180,4054,Basel,+41 61 301 77 37,,,,,2609190.797000/1266461.751000,47.5488122026,7.56071253948,0.2,0.30000000000000004,0
"47.5637598372,7.57895568903","{""type"": ""Point"", ""coordinates"": [7.578955689031758, 47.56375983717301]}",Peter,Kindergarten,Metzerstrasse 3,,,Kindergarten,,Metzerstrasse,3,4056,Basel,+41 61 321 10 07,,http://schulen.edubs.ch/ps/peter/kindergarten,,,2610561.155000/1268126.038000,47.5637598372,7.57895568903,1.3,2.7,2
"47.5453877244,7.6014164314","{""type"": ""Point"", ""coordinates"": [7.601416431399479, 47.54538772435547]}",Sevogel,Kindergarten,Grosspeterstrasse 25,,,Kindergarten,,Grosspeterstrasse,25,4052,Basel,+41 61 311 08 22,,,,,2612255.700000/1266086.519000,47.5453877244,7.6014164314,0.0,0.6,1
"47.5673391914,7.58094879946","{""type"": ""Point"", ""coordinates"": [7.580948799458692, 47.56733919143576]}",St. Johann,Kindergarten,Elsässerstrasse 7,,,Kindergarten,,Elsässerstrasse,7,4056,Basel,+41 61 322 09 41,,,,,2610710.433000/1268524.291000,47.5673391914,7.58094879946,0.0,1.7,1
