Geo Point,Geo Shape,SCHULSTAND,SCHULTYP,NAME,VORNAME_K,NACHNAME_K,FUNKTION,WEBSEITE,STRASSE,HAUSNUMMER,PLZ,ORTSCHAFT,TELEFON,FAX,WWW_LINK,EMAIL,PDF_REPORT,GEOMETRIE,lat,long,q_rating,w_rating,v_rating,OBJID,ID_SCHULE,VORNAME_1,NACHNAME_1,FUNKTION_1,TELEFON_1,EMAIL_1,VORNAME_2,NACHNAME_2,FUNKTION_2,TELEFON_2,EMAIL_2,risk,risk_alpha
"47.5614715305,7.56168861292","{""type"": ""Point"", ""coordinates"": [7.561688612919879, 47.56147153047235]}",Wasgenring,Sekundarschule,Wasgenring Süd,,,Schulleitung,,Welschmattstrasse,30,4055,Basel,+41 61 385 90 20,+41 61 385 90 25,http://www.sek-wasgenring.ch,sek.wasgenring@bs.ch,Bauprojekt_Schulraum_616.pdf,2609262.082000/1267869.437000,47.5614715305,7.56168861292,0.0,0.0,0,,,,,,,,,,,,,0.0,0.0
"47.5473240549,7.60329840302","{""type"": ""Point"", ""coordinates"": [7.603298403017194, 47.547324054852865]}",Sevogel,Kindergarten,Andreas Heusler-Strasse 41,,,Kindergarten,,Andreas Heusler-Strasse,41,4052,Basel,+41 61 311 39 93,,,,,2612396.931000/1266302.110000,47.5473240549,7.60329840302,0.0,0.0,0,,,,,,,,,,,,,0.0,0.0
"47.5669969195,7.62431048984","{""type"": ""Point"", ""coordinates"": [7.624310489835669, 47.566996919499374]}",Hirzbrunnen,Primarschule,Hirzbrunnen,,,Sekretariat,,Zu den drei Linden,70,4058,Basel,+41 61 208 57 50,,http://schulen.edubs.ch/ps/hirzbrunnen,ps.hirzbrunnen@bs.ch,Bauprojekt_Schulraum_657.pdf,2613973.573000/1268493.020000,47.5669969195,7.62431048984,0.0,0.0,0,,,,,,,,,,,,,0.0,0.0
"47.569016228,7.60047314174","{""type"": ""Point"", ""coordinates"": [7.60047314173752, 47.56901622797366]}",Erlenmatt,Primarschule,Erlenmatt,,,Sekretariat,,Erlenmattstrasse,6,4058,Basel,+41 61 208 60 30,,http://schulen.edubs.ch/ps/erlenmatt/kontakt-1,ps.erlenmatt@bs.ch,Bauprojekt_Schulraum_6624.pdf,2612179.295000/1268713.591000,47.569016228,7.60047314174,0.0,0.0,0,,,,,,,,,,,,,0.0,0.0
"47.5672567761,7.62661330049","{""type"": ""Point"", ""coordinates"": [7.626613300491354, 47.56725677613699]}",Bäumlihof,Sekundarschule,Sek Bäumlihof,,,Sekretariat,,Zu den drei Linden,80,4058,Basel,+41 61 208 58 50,+41 61 208 58 58,http://www.sek-baeumlihof.ch,sek.baeumlihof@bs.ch,Bauprojekt_Schulraum_3971.pdf,2614146.796000/1268522.324000,47.5672567761,7.62661330049,0.0,0.0,0,,,,,,,,,,,,,0.0,0.0
"47.556682771,7.59062523145","{""type"": ""Point"", ""coordinates"": [7.59062523144508, 47.556682771038396]}",Peter,Primarschule,Münster Primar,,,Sekretariat,,Münsterplatz,18,4051,Basel,+41 61 267 81 90,,http://schulen.edubs.ch/ps/peter,ps.muensterplatz@bs.ch,Bauprojekt_Schulraum_633.pdf,2611440.886000/1267340.775000,47.556682771,7.59062523145,0.0,0.0,0,,,,,,,,,,,,,0.0,0.0
"47.572069688,7.59919018582","{""type"": ""Point"", ""coordinates"": [7.599190185820103, 47.57206968802079]}",Erlenmatt,Kindergarten,Tangentenweg 50,,,Kindergarten,,Tangentenweg,50,4057,Basel,,,http://schulen.edubs.ch/ps/erlenmatt/kindergarten/tangentenweg,seda.kasan@edubs.ch,,2612082.062000/1269052.905000,47.572069688,7.59919018582,0.0,0.0,0,,,,,,,,,,,,,0.0,0.0
"47.54936836,7.6141512581","{""type"": ""Point"", ""coordinates"": [7.614151258104832, 47.54936836001918]}",Gellert,Primarschule,Gellert,,,Sekretariat,,Emanuel Büchel-Strasse,45,4052,Basel,+41 61 317 95 70,+41 61 317 95 75,http://schulen.edubs.ch/ps/gellert,ps.gellert@bs.ch,Bauprojekt_Schulraum_4082.pdf,2613213.431000/1266531.175000,47.54936836,7.6141512581,0.0,0.0,0,,,,,,,,,,,,,0.0,0.0
"47.5428356752,7.58204767323","{""type"": ""Point"", ""coordinates"": [7.582047673231349, 47.54283567515757]}",Margarethen,Kindergarten,Gundeldingerstrasse 2,,,Kindergarten,,Gundeldingerstrasse,2,4053,Basel,+41 61 271 73 66,,,,,2610798.076000/1265799.932000,47.5428356752,7.58204767323,0.0,0.0,0,,,,,,,,,,,,,0.0,0.0
"47.5608686852,7.59685622667","{""type"": ""Point"", ""coordinates"": [7.596856226665032, 47.56086868520316]}",Theodor,Primarschule,Thomas Platter,,,Sekretariat,,Claragraben,40,4058,Basel,+41 61 208 56 36,,http://schulen.edubs.ch/ps/theodor,ps.theodor@bs.ch,Bauprojekt_Schulraum_639.pdf,2611908.941000/1267807.123000,47.5608686852,7.59685622667,0.0,0.0,0,,,,,,,,,,,,,0.0,0.0
