Geo Point,Geo Shape,OBJID,ID_SCHULE,SCHULSTAND,SCHULTYP,NAME,VORNAME_1,NACHNAME_1,FUNKTION_1,TELEFON_1,EMAIL_1,VORNAME_2,NACHNAME_2,FUNKTION_2,TELEFON_2,EMAIL_2,STRASSE,HAUSNUMMER,PLZ,ORTSCHAFT,FAX,WWW_LINK,lat,long,q_rating
"47.578667969,7.64483745885","{""type"": ""Point"", ""coordinates"": [7.644837458852725, 47.5786679689805]}",5,29,Primarstufe Burgstrasse,Kindergarten,Paradiesstrasse B,,,,+41 61 208 57 96,,,,,,,Paradiesstrasse,47,4125,Riehen,,,47.578667969,7.64483745885,0.2
"47.5702776247,7.63373756236","{""type"": ""Point"", ""coordinates"": [7.633737562359162, 47.57027762467752]}",26,36,Primarstufe Niederholz,Kindergarten,Niederholz C,,,,+41 79 561 61 57,,,,,,,Niederholzstrasse,141,4125,Riehen,,,47.5702776247,7.63373756236,0.4
"47.5705244671,7.63402097396","{""type"": ""Point"", ""coordinates"": [7.634020973964207, 47.570524467137304]}",27,35,Primarstufe Niederholz,Kindergarten,Niederholz B,,,,+41 79 561 84 86,,,,,,,Niederholzstrasse,141,4125,Riehen,,,47.5705244671,7.63402097396,0.0
"47.5703865044,7.63390803945","{""type"": ""Point"", ""coordinates"": [7.633908039449423, 47.570386504390754]}",28,13,Primarstufe Niederholz,Kindergarten,Niederholz A,,,,+41 79 561 84 60,,,,,,,Niederholzstrasse,141,4125,Riehen,,,47.5703865044,7.63390803945,0.0
"47.5728865116,7.63984808942","{""type"": ""Point"", ""coordinates"": [7.63984808941836, 47.572886511649855]}",36,27,Primarstufe Wasserstelzen,Tagesstruktur,Wasserstelzen,Thomas,Schulthess,Tagesstrukturleitung,+41 61 208 55 49,thomas.schulthess@riehen.ch,,,,,,Wasserstelzenweg,15,4125,Riehen,,,47.5728865116,7.63984808942,0.30000000000000004
"47.5720589071,7.66649137559","{""type"": ""Point"", ""coordinates"": [7.666491375587341, 47.57205890708265]}",1,6,Primarstufe Bettingen,Primarschule,Bettingen,Monika,Reith,Schulleitung,+41 61 208 51 40,ps.bettingen@riehen.ch,,,,,,Hauptstrasse,107,4126,Bettingen,,http://www.schule-bettingen.ch,47.5720589071,7.66649137559,0.0
"47.5719472484,7.66656577324","{""type"": ""Point"", ""coordinates"": [7.666565773235209, 47.57194724838981]}",3,1,Primarstufe Bettingen,Kindergarten,Bettingen A und B,,,,+41 79 704 67 44,,,,,+41 79 704 67 66,,Hauptstrasse,107,4126,Bettingen,,,47.5719472484,7.66656577324,0.0
"47.5788872418,7.64467604329","{""type"": ""Point"", ""coordinates"": [7.644676043290532, 47.578887241834465]}",7,14,Primarstufe Burgstrasse,Tagesstruktur,Burgstrasse,Marc,Bürgin,Tagesstrukturleitung,+41 61 208 57 94,marc.buergin@riehen.ch,,,,,,Paradiesstrasse,47,4125,Riehen,,,47.5788872418,7.64467604329,0.2
"47.5841522037,7.65326851754","{""type"": ""Point"", ""coordinates"": [7.653268517544134, 47.584152203670904]}",8,20,Primarstufe Burgstrasse,Kindergarten,Schmiedgasse A,,,,+41 79 704 65 46,,,,,,,Schmiedgasse,46,4125,Riehen,,,47.5841522037,7.65326851754,0.30000000000000004
"47.5817045729,7.6464868745","{""type"": ""Point"", ""coordinates"": [7.646486874503323, 47.58170457288541]}",9,9,Primarstufe Burgstrasse,Kindergarten,Glögglihof,,,,+41 79 704 66 07,,,,,,,Im Glögglihof,11,4125,Riehen,,,47.5817045729,7.6464868745,0.0
