Geo Point,Geo Shape,OBJID,ID,Strassenkategorie,Bewertung,Bemerkung,Tram,Konfliktgrün,Lichtsignalanlage,Vortritt-Typ,lat,long
"47.5712138158,7.63045441717","{""type"": ""LineString"", ""coordinates"": [[7.630416820083211, 47.57119702803963], [7.630492014263393, 47.57123060353757]]}",2769,2769,Zone30,0.1,,Nein,Nein,Nein,Trottoirueberfahrt,47.5712138158,7.63045441717
"47.5710319927,7.62966242524","{""type"": ""LineString"", ""coordinates"": [[7.629618217555049, 47.57101166757555], [7.629706632925379, 47.571052317923765]]}",2770,2770,Zone30,0.1,,Nein,Nein,Nein,Trottoirueberfahrt,47.5710319927,7.62966242524
"47.57593896,7.63609566517","{""type"": ""LineString"", ""coordinates"": [[7.636047716949378, 47.57594395638097], [7.636143613398572, 47.57593396363703]]}",2774,2774,Zone30,0.1,,Nein,Nein,Nein,ohne,47.57593896,7.63609566517
"47.5756534783,7.6419241098","{""type"": ""LineString"", ""coordinates"": [[7.64186538400346, 47.57561329362164], [7.641982835599142, 47.575693662936416]]}",2776,2776,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5756534783,7.6419241098
"47.5724702634,7.63475326004","{""type"": ""LineString"", ""coordinates"": [[7.634738999205369, 47.57243395286006], [7.634767520872438, 47.57250657386184]]}",2781,2781,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5724702634,7.63475326004
"47.5764107926,7.58782030991","{""type"": ""LineString"", ""coordinates"": [[7.587788280639606, 47.57637105908474], [7.587852339184084, 47.576450526136725]]}",2902,2902,Zone30,0.1,Begegnungszone,Nein,Nein,Nein,Begegnungszone,47.5764107926,7.58782030991
"47.5760876474,7.5911349378","{""type"": ""LineString"", ""coordinates"": [[7.591037671717833, 47.57610274904259], [7.591232203873955, 47.57607254566777]]}",2904,2904,Zone50,0.5,"Tram und Tempo 50, aber einziger möglicher Übergang",Ja,Nein,Nein,Fussgaengerstreifen,47.5760876474,7.5911349378
"47.5634034334,7.55724342619","{""type"": ""LineString"", ""coordinates"": [[7.557156434774321, 47.56344380907972], [7.557330417599299, 47.5633630577481]]}",3025,3025,Zone50,0.1,,Nein,Nein,Nein,Fussgaengerstreifen,47.5634034334,7.55724342619
"47.5324396026,7.59351238901","{""type"": ""LineString"", ""coordinates"": [[7.59351823077614, 47.53239788598902], [7.593506547239192, 47.5324813191346]]}",265,265,Zone50,0.3,Tram und Tempo 50,Ja,Nein,Nein,ohne,47.5324396026,7.59351238901
"47.5323691175,7.59363453943","{""type"": ""LineString"", ""coordinates"": [[7.5936283086641, 47.53240717407706], [7.593640770187108, 47.53233106084512]]}",267,267,Zone50,0.3,,Nein,Nein,Nein,Fussgaengerstreifen,47.5323691175,7.59363453943
"47.5552492925,7.61352818551","{""type"": ""LineString"", ""coordinates"": [[7.61358569647676, 47.55526062364708], [7.613470674547793, 47.55523796127979]]}",280,280,Zone30,0.1,,Nein,Nein,Nein,Trottoirueberfahrt,47.5552492925,7.61352818551
"47.5536679994,7.61591834567","{""type"": ""LineString"", ""coordinates"": [[7.615930848045035, 47.55362229206598], [7.615905843292868, 47.55371370663906]]}",285,285,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5536679994,7.61591834567
"47.5540646358,7.6142187165","{""type"": ""LineString"", ""coordinates"": [[7.614166979462777, 47.5540432996902], [7.614270453538911, 47.55408597189346]]}",287,287,Zone30,0.1,,Nein,Nein,Nein,ohne,47.5540646358,7.6142187165
"47.5540002563,7.61450031371","{""type"": ""LineString"", ""coordinates"": [[7.614454321538132, 47.55404916180758], [7.614546305890023, 47.553951350770944]]}",290,290,Zone30,0.1,,Nein,Nein,Nein,Fussgaengerstreifen,47.5540002563,7.61450031371
